id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
15980,2.0,No,6.0,4.0,No,11.0,6.0,Extrovert
23923,3.0,No,3.0,5.0,No,14.0,8.0,
19966,2.0,No,6.0,6.0,No,6.0,,
14760,8.0,Yes,3.0,1.0,Yes,2.0,3.0,Introvert
5137,,No,8.0,6.0,No,12.0,7.0,Extrovert
3444,3.0,No,8.0,4.0,No,7.0,7.0,Extrovert
11598,4.0,No,10.0,4.0,No,6.0,7.0,Extrovert
9202,7.0,Yes,0.0,2.0,Yes,0.0,0.0,Introvert
1962,3.0,No,6.0,6.0,No,7.0,5.0,Extrovert
20177,2.0,No,9.0,4.0,,6.0,4.0,
17713,0.0,No,8.0,4.0,No,8.0,3.0,Extrovert
13399,2.0,No,6.0,7.0,No,4.0,8.0,Extrovert
10856,1.0,,5.0,3.0,No,10.0,3.0,Extrovert
22604,1.0,No,9.0,6.0,No,12.0,,
22344,3.0,No,9.0,6.0,No,,5.0,
5036,2.0,,7.0,3.0,No,5.0,,Extrovert
15801,2.0,No,7.0,7.0,No,7.0,5.0,Extrovert
7099,2.0,No,9.0,7.0,No,5.0,8.0,Extrovert
13702,2.0,No,4.0,6.0,No,12.0,9.0,Extrovert
17728,3.0,No,5.0,7.0,No,6.0,9.0,Extrovert
12898,2.0,No,,7.0,No,11.0,10.0,Introvert
2210,2.0,No,5.0,,No,13.0,8.0,Extrovert
12093,0.0,,6.0,6.0,No,8.0,7.0,Extrovert
1389,3.0,No,4.0,4.0,No,13.0,7.0,Extrovert
24318,1.0,,6.0,7.0,No,6.0,7.0,
18820,,No,9.0,5.0,No,14.0,5.0,
4435,3.0,No,8.0,3.0,No,6.0,,Extrovert
14742,2.0,No,7.0,4.0,No,13.0,10.0,Extrovert
11365,3.0,No,9.0,3.0,No,8.0,9.0,Extrovert
1640,11.0,Yes,2.0,1.0,Yes,5.0,0.0,Introvert
21593,11.0,Yes,3.0,2.0,Yes,,,
7481,0.0,No,8.0,3.0,No,12.0,5.0,Extrovert
12151,3.0,No,10.0,7.0,No,8.0,,Extrovert
20747,3.0,No,4.0,7.0,No,5.0,4.0,
16443,1.0,No,8.0,7.0,No,14.0,9.0,Extrovert
2411,0.0,No,7.0,6.0,No,,6.0,Extrovert
22950,1.0,,4.0,4.0,No,10.0,4.0,
21953,8.0,Yes,0.0,3.0,Yes,1.0,1.0,
1635,2.0,No,8.0,7.0,No,10.0,9.0,Extrovert
23302,2.0,No,6.0,5.0,No,8.0,10.0,
14885,1.0,No,5.0,7.0,No,12.0,4.0,Extrovert
10217,4.0,Yes,5.0,2.0,Yes,1.0,1.0,Introvert
17843,0.0,No,4.0,5.0,No,5.0,,Extrovert
3854,3.0,No,,,No,11.0,3.0,Extrovert
19445,3.0,No,5.0,7.0,No,13.0,3.0,
19920,0.0,No,5.0,3.0,No,8.0,,
13385,2.0,No,,6.0,No,7.0,5.0,Extrovert
14802,0.0,No,6.0,4.0,No,7.0,4.0,Extrovert
21641,4.0,No,4.0,7.0,No,14.0,10.0,
19950,0.0,No,4.0,7.0,No,6.0,,
1024,0.0,No,7.0,5.0,No,15.0,9.0,Extrovert
5102,1.0,,5.0,6.0,No,9.0,9.0,Extrovert
6177,1.0,No,7.0,4.0,No,14.0,10.0,Extrovert
10915,9.0,Yes,0.0,1.0,Yes,2.0,3.0,Introvert
13188,0.0,No,7.0,,No,14.0,5.0,Extrovert
22003,3.0,No,4.0,4.0,No,5.0,4.0,
12675,0.0,No,5.0,3.0,No,13.0,4.0,Extrovert
1715,3.0,No,10.0,4.0,No,4.0,7.0,Extrovert
537,0.0,No,6.0,5.0,No,6.0,9.0,Extrovert
18071,1.0,No,6.0,6.0,No,9.0,4.0,Extrovert
18600,2.0,No,9.0,5.0,No,8.0,3.0,
5602,8.0,Yes,2.0,,Yes,1.0,0.0,Introvert
21283,3.0,No,5.0,4.0,No,12.0,8.0,
17782,1.0,No,8.0,6.0,No,6.0,8.0,Extrovert
12602,6.0,Yes,9.0,0.0,Yes,1.0,0.0,Introvert
18083,3.0,No,,6.0,No,14.0,4.0,Extrovert
15533,1.0,No,,6.0,No,10.0,6.0,Extrovert
6163,3.0,No,4.0,4.0,No,10.0,9.0,Extrovert
3513,9.0,Yes,0.0,2.0,Yes,,1.0,Introvert
324,0.0,No,6.0,7.0,No,4.0,8.0,Extrovert
4403,0.0,No,9.0,7.0,No,4.0,3.0,Extrovert
19653,2.0,No,5.0,,No,14.0,9.0,
7615,0.0,No,8.0,6.0,No,12.0,5.0,Extrovert
6399,8.0,Yes,1.0,0.0,Yes,4.0,,Introvert
7591,2.0,No,8.0,6.0,No,6.0,7.0,Extrovert
6099,1.0,No,,4.0,No,6.0,10.0,Extrovert
7803,1.0,No,7.0,,No,13.0,8.0,Extrovert
455,1.0,No,9.0,7.0,No,12.0,6.0,Extrovert
10332,8.0,,0.0,0.0,Yes,0.0,2.0,Introvert
22561,2.0,No,3.0,5.0,No,4.0,7.0,
9321,4.0,Yes,0.0,2.0,Yes,0.0,1.0,Introvert
8085,2.0,No,6.0,6.0,No,8.0,4.0,Extrovert
17692,0.0,No,9.0,4.0,No,,9.0,Extrovert
14133,10.0,Yes,3.0,0.0,Yes,4.0,,Introvert
19022,2.0,,6.0,4.0,No,13.0,9.0,
17379,1.0,No,9.0,5.0,No,10.0,7.0,Extrovert
22951,3.0,No,10.0,3.0,No,12.0,4.0,
20343,1.0,No,7.0,6.0,No,13.0,4.0,
5252,1.0,No,6.0,7.0,No,15.0,3.0,Extrovert
23628,10.0,Yes,1.0,2.0,,3.0,1.0,
19178,1.0,,5.0,3.0,No,10.0,5.0,
8284,7.0,Yes,3.0,3.0,Yes,2.0,3.0,Extrovert
14829,3.0,No,4.0,7.0,No,14.0,,Extrovert
2765,,No,5.0,7.0,No,10.0,4.0,Extrovert
21976,3.0,No,5.0,5.0,,14.0,7.0,
9329,0.0,No,8.0,5.0,No,10.0,9.0,Extrovert
13459,5.0,,3.0,0.0,Yes,5.0,2.0,Introvert
20063,0.0,No,3.0,5.0,No,6.0,6.0,
8108,9.0,,1.0,2.0,Yes,5.0,2.0,Introvert
6926,1.0,,9.0,5.0,No,11.0,8.0,Extrovert
10627,5.0,Yes,,1.0,Yes,5.0,2.0,Introvert
24623,3.0,,,4.0,No,6.0,8.0,
17311,2.0,No,8.0,3.0,No,15.0,5.0,Extrovert
2711,2.0,No,9.0,4.0,No,10.0,8.0,Extrovert
20581,3.0,No,9.0,3.0,No,12.0,6.0,
18163,11.0,Yes,3.0,1.0,Yes,2.0,1.0,Introvert
8065,1.0,No,7.0,,No,13.0,6.0,Extrovert
10003,11.0,Yes,1.0,1.0,Yes,,1.0,Introvert
11641,3.0,No,10.0,6.0,No,9.0,4.0,Extrovert
18925,9.0,Yes,1.0,1.0,Yes,0.0,5.0,
4241,11.0,,1.0,2.0,,1.0,0.0,Introvert
21313,0.0,No,6.0,7.0,,8.0,6.0,
19682,2.0,No,5.0,,No,11.0,9.0,
9959,3.0,No,,5.0,No,7.0,9.0,Extrovert
1902,5.0,,0.0,2.0,Yes,4.0,2.0,Introvert
7043,10.0,Yes,3.0,1.0,Yes,3.0,0.0,Introvert
7670,3.0,,6.0,5.0,No,8.0,4.0,Extrovert
11562,1.0,No,9.0,4.0,No,7.0,8.0,Extrovert
8837,0.0,No,8.0,6.0,No,11.0,7.0,Extrovert
15338,1.0,No,,7.0,No,8.0,6.0,Extrovert
21791,0.0,,5.0,4.0,No,13.0,7.0,
14698,3.0,No,,3.0,No,14.0,7.0,Extrovert
10935,2.0,No,6.0,5.0,No,4.0,5.0,Extrovert
22932,1.0,No,4.0,5.0,No,15.0,9.0,
19235,0.0,No,4.0,,No,5.0,9.0,
14843,10.0,,2.0,1.0,Yes,0.0,0.0,Introvert
13514,0.0,No,4.0,,No,13.0,7.0,Extrovert
3973,1.0,No,5.0,3.0,No,12.0,6.0,Extrovert
12285,10.0,Yes,1.0,0.0,Yes,2.0,3.0,Introvert
1531,0.0,No,6.0,3.0,No,11.0,8.0,Extrovert
598,1.0,No,4.0,7.0,No,11.0,9.0,Extrovert
3929,0.0,No,6.0,,No,9.0,9.0,Extrovert
21473,0.0,No,3.0,4.0,No,11.0,5.0,
7089,3.0,No,9.0,5.0,,11.0,4.0,Extrovert
1910,1.0,No,,5.0,No,12.0,10.0,Extrovert
18219,0.0,No,7.0,5.0,No,5.0,5.0,Extrovert
6665,1.0,No,1.0,4.0,No,8.0,5.0,Extrovert
6795,4.0,Yes,2.0,1.0,Yes,,0.0,Introvert
15522,1.0,No,3.0,6.0,No,8.0,7.0,Extrovert
19494,3.0,No,4.0,7.0,No,10.0,3.0,
19245,2.0,No,9.0,6.0,No,5.0,6.0,
14686,1.0,No,4.0,3.0,No,13.0,8.0,Extrovert
768,1.0,,9.0,5.0,No,14.0,10.0,Extrovert
3122,11.0,Yes,3.0,,,1.0,0.0,Introvert
6747,1.0,No,10.0,4.0,No,10.0,10.0,Extrovert
23375,0.0,No,4.0,,No,8.0,7.0,
14379,9.0,Yes,,1.0,Yes,5.0,1.0,Introvert
28,2.0,No,,4.0,No,5.0,8.0,Extrovert
21033,2.0,No,,4.0,No,12.0,4.0,
9199,2.0,No,3.0,3.0,No,10.0,8.0,Extrovert
14820,8.0,No,5.0,5.0,No,3.0,4.0,Introvert
4691,2.0,No,8.0,,No,,9.0,Extrovert
12326,0.0,No,10.0,5.0,No,11.0,5.0,Extrovert
16122,0.0,No,5.0,5.0,No,,9.0,Extrovert
5606,,No,7.0,3.0,No,5.0,9.0,Extrovert
8389,3.0,No,8.0,7.0,No,6.0,8.0,Extrovert
20631,8.0,Yes,2.0,2.0,Yes,,0.0,
17799,,No,5.0,,No,8.0,5.0,Extrovert
9673,2.0,No,6.0,5.0,No,8.0,3.0,Extrovert
21153,3.0,No,5.0,,No,10.0,5.0,
12845,2.0,No,6.0,4.0,No,14.0,4.0,Extrovert
11883,2.0,No,4.0,,No,15.0,4.0,Extrovert
3325,1.0,No,,4.0,No,12.0,8.0,Extrovert
24626,2.0,,8.0,3.0,No,10.0,9.0,
12010,5.0,Yes,2.0,,Yes,4.0,2.0,Introvert
23646,1.0,No,8.0,6.0,No,13.0,10.0,
10327,3.0,No,6.0,,No,9.0,8.0,Extrovert
2480,2.0,No,6.0,3.0,No,8.0,8.0,Extrovert
4850,11.0,,0.0,2.0,Yes,5.0,2.0,Introvert
5940,6.0,Yes,0.0,,Yes,1.0,2.0,Extrovert
6162,1.0,No,7.0,7.0,No,12.0,5.0,Introvert
21268,9.0,Yes,1.0,0.0,Yes,10.0,2.0,
13700,3.0,No,8.0,4.0,No,9.0,6.0,Extrovert
6876,2.0,No,7.0,6.0,No,8.0,8.0,Extrovert
11709,8.0,Yes,,2.0,,5.0,2.0,Introvert
9336,0.0,No,4.0,3.0,No,14.0,3.0,Extrovert
6902,3.0,No,9.0,6.0,No,7.0,9.0,Extrovert
13148,0.0,No,5.0,7.0,No,9.0,7.0,Extrovert
5420,2.0,No,7.0,3.0,No,14.0,8.0,Extrovert
16772,0.0,No,3.0,5.0,No,7.0,6.0,Extrovert
16947,0.0,No,5.0,,No,15.0,4.0,Extrovert
10438,4.0,,3.0,1.0,Yes,5.0,0.0,Introvert
2960,5.0,,2.0,0.0,Yes,5.0,2.0,Introvert
15941,7.0,Yes,0.0,2.0,,1.0,2.0,Introvert
1274,6.0,,3.0,1.0,Yes,2.0,2.0,Introvert
1735,9.0,Yes,2.0,1.0,Yes,,1.0,Introvert
24183,0.0,,9.0,4.0,No,10.0,5.0,
16319,7.0,Yes,3.0,,Yes,1.0,2.0,Introvert
17614,3.0,No,4.0,3.0,No,8.0,5.0,Extrovert
13832,1.0,No,5.0,4.0,No,4.0,4.0,Extrovert
16857,0.0,,6.0,5.0,No,14.0,,Extrovert
5699,7.0,Yes,2.0,3.0,Yes,2.0,2.0,Introvert
20407,1.0,No,4.0,3.0,No,7.0,,
17816,2.0,No,7.0,7.0,No,5.0,9.0,Introvert
9122,7.0,Yes,1.0,0.0,,4.0,0.0,Introvert
12148,1.0,No,6.0,7.0,No,14.0,7.0,Extrovert
23644,6.0,Yes,,3.0,Yes,4.0,1.0,
21347,3.0,No,,3.0,No,5.0,6.0,
463,2.0,No,8.0,6.0,No,11.0,7.0,Extrovert
2122,1.0,No,8.0,4.0,No,5.0,7.0,Extrovert
15134,1.0,,7.0,7.0,No,6.0,3.0,Extrovert
16843,2.0,No,9.0,7.0,No,11.0,6.0,Extrovert
5955,0.0,,5.0,5.0,No,12.0,3.0,Extrovert
21798,2.0,No,8.0,6.0,No,4.0,8.0,
8017,3.0,No,6.0,3.0,No,,7.0,Extrovert
24421,9.0,Yes,,1.0,Yes,0.0,0.0,
17243,6.0,Yes,0.0,1.0,,4.0,2.0,Introvert
90,0.0,No,5.0,6.0,No,,9.0,Extrovert
887,0.0,No,7.0,3.0,No,4.0,9.0,Extrovert
8697,0.0,No,9.0,3.0,,10.0,7.0,Extrovert
1264,2.0,No,9.0,,No,7.0,8.0,Extrovert
12696,3.0,No,9.0,6.0,,11.0,4.0,Extrovert
17967,7.0,Yes,3.0,2.0,,,2.0,Introvert
21846,3.0,No,5.0,5.0,No,9.0,,
5807,3.0,No,6.0,7.0,No,7.0,5.0,Extrovert
17869,2.0,No,4.0,6.0,No,13.0,7.0,Extrovert
14793,1.0,No,6.0,3.0,No,13.0,3.0,Extrovert
3284,3.0,No,6.0,3.0,No,13.0,7.0,Extrovert
17559,8.0,Yes,2.0,2.0,Yes,3.0,0.0,Introvert
9567,8.0,Yes,,,Yes,4.0,2.0,Introvert
8042,8.0,Yes,1.0,1.0,Yes,0.0,0.0,Introvert
14556,1.0,No,6.0,7.0,No,14.0,3.0,Extrovert
3370,,Yes,1.0,1.0,Yes,1.0,1.0,Introvert
1794,1.0,No,9.0,5.0,No,13.0,7.0,Extrovert
9399,4.0,Yes,2.0,1.0,Yes,0.0,3.0,Introvert
14405,8.0,Yes,0.0,0.0,Yes,4.0,,Introvert
2211,8.0,Yes,0.0,0.0,Yes,2.0,3.0,Introvert
5490,0.0,No,6.0,,No,15.0,7.0,Extrovert
9225,8.0,,3.0,2.0,Yes,5.0,1.0,Introvert
24286,0.0,No,3.0,3.0,No,5.0,6.0,
15733,9.0,Yes,2.0,2.0,Yes,4.0,1.0,Introvert
4540,2.0,No,5.0,4.0,No,7.0,,Extrovert
2593,0.0,No,7.0,4.0,No,7.0,9.0,Extrovert
5017,6.0,Yes,1.0,2.0,Yes,3.0,1.0,Introvert
15716,0.0,No,10.0,4.0,No,8.0,9.0,Extrovert
24226,11.0,Yes,2.0,1.0,Yes,4.0,0.0,
10235,,No,5.0,5.0,No,8.0,3.0,Extrovert
24072,0.0,No,4.0,6.0,No,5.0,3.0,
5175,2.0,No,4.0,4.0,No,8.0,,Extrovert
8869,2.0,No,4.0,,,15.0,6.0,Extrovert
14214,3.0,No,6.0,,No,8.0,9.0,Extrovert
6244,5.0,Yes,2.0,0.0,Yes,3.0,3.0,Introvert
19479,6.0,Yes,1.0,,Yes,,0.0,
2454,1.0,No,8.0,6.0,No,8.0,8.0,Extrovert
14299,3.0,No,9.0,6.0,No,6.0,8.0,Extrovert
9539,2.0,No,9.0,3.0,No,11.0,8.0,Extrovert
6058,2.0,No,8.0,6.0,No,15.0,3.0,Extrovert
11046,11.0,Yes,2.0,0.0,,3.0,2.0,Extrovert
15682,11.0,Yes,2.0,3.0,Yes,1.0,0.0,Introvert
2966,10.0,Yes,3.0,1.0,Yes,1.0,3.0,Introvert
14753,3.0,No,3.0,4.0,No,3.0,0.0,Introvert
21640,9.0,Yes,2.0,,Yes,4.0,1.0,
16190,,No,8.0,6.0,No,14.0,5.0,Extrovert
7253,3.0,No,5.0,3.0,No,7.0,5.0,Extrovert
5822,3.0,No,7.0,5.0,No,,4.0,Extrovert
24155,3.0,No,7.0,,No,6.0,8.0,
19949,1.0,No,8.0,4.0,No,14.0,5.0,
951,1.0,No,7.0,3.0,No,11.0,3.0,Extrovert
8747,2.0,No,9.0,4.0,No,12.0,4.0,Extrovert
15860,4.0,No,,7.0,No,10.0,8.0,Extrovert
555,2.0,No,8.0,5.0,No,8.0,3.0,Extrovert
13562,4.0,Yes,1.0,3.0,Yes,5.0,3.0,Introvert
2636,9.0,Yes,1.0,1.0,Yes,1.0,,Introvert
19141,2.0,No,6.0,6.0,No,9.0,6.0,
13538,0.0,No,5.0,5.0,No,13.0,7.0,Extrovert
6380,2.0,No,,3.0,No,12.0,8.0,Extrovert
3146,2.0,No,9.0,6.0,No,14.0,5.0,Extrovert
18964,1.0,No,8.0,5.0,No,12.0,3.0,
12707,0.0,No,4.0,5.0,No,15.0,8.0,Extrovert
5145,6.0,Yes,2.0,2.0,,2.0,1.0,Introvert
11461,3.0,No,6.0,6.0,No,7.0,4.0,Extrovert
8920,3.0,No,6.0,,No,14.0,5.0,Extrovert
5085,0.0,,8.0,5.0,No,10.0,3.0,Extrovert
11161,2.0,No,5.0,5.0,No,3.0,3.0,Extrovert
4053,2.0,No,5.0,5.0,No,5.0,6.0,Extrovert
16405,1.0,No,4.0,3.0,No,12.0,10.0,Extrovert
1785,4.0,No,10.0,6.0,No,7.0,10.0,Extrovert
7748,9.0,Yes,4.0,0.0,Yes,5.0,1.0,Introvert
4198,0.0,No,,5.0,No,6.0,9.0,Extrovert
24022,5.0,Yes,3.0,1.0,Yes,2.0,2.0,
4924,1.0,,7.0,4.0,No,5.0,9.0,Extrovert
10775,1.0,No,9.0,5.0,No,8.0,3.0,Extrovert
18693,7.0,Yes,0.0,2.0,Yes,,0.0,
23225,0.0,No,5.0,5.0,No,15.0,7.0,
5047,1.0,No,8.0,7.0,No,,3.0,Extrovert
9773,1.0,No,8.0,5.0,No,10.0,9.0,Extrovert
13217,10.0,Yes,1.0,0.0,,3.0,2.0,Introvert
22948,2.0,No,9.0,,No,8.0,7.0,
15325,10.0,Yes,3.0,,Yes,1.0,2.0,Introvert
727,6.0,Yes,3.0,2.0,Yes,3.0,2.0,Extrovert
8457,3.0,No,6.0,3.0,No,15.0,4.0,Extrovert
10393,8.0,Yes,0.0,0.0,Yes,2.0,,Introvert
24449,0.0,No,7.0,5.0,No,15.0,7.0,
18674,,No,3.0,6.0,No,4.0,6.0,
9831,10.0,,1.0,0.0,Yes,1.0,1.0,Introvert
6943,11.0,Yes,,0.0,Yes,3.0,1.0,Introvert
1467,0.0,,7.0,6.0,No,14.0,3.0,Extrovert
24171,2.0,No,4.0,6.0,No,15.0,9.0,
3404,2.0,No,4.0,6.0,No,7.0,10.0,Extrovert
21595,2.0,No,7.0,4.0,No,4.0,5.0,
3802,4.0,Yes,2.0,1.0,Yes,4.0,,Introvert
17427,0.0,No,9.0,5.0,No,11.0,5.0,Extrovert
10480,1.0,No,7.0,4.0,No,6.0,7.0,Introvert
19006,0.0,No,10.0,7.0,No,12.0,8.0,
472,6.0,Yes,2.0,1.0,Yes,5.0,,Introvert
13605,2.0,No,,5.0,No,14.0,6.0,Extrovert
14423,,Yes,0.0,1.0,Yes,,2.0,Introvert
7163,2.0,No,6.0,,No,11.0,9.0,Extrovert
9166,3.0,No,5.0,5.0,No,5.0,4.0,Extrovert
18117,2.0,No,8.0,3.0,No,6.0,6.0,Extrovert
5169,0.0,,7.0,6.0,No,12.0,6.0,Extrovert
12382,6.0,,2.0,1.0,Yes,3.0,1.0,Extrovert
12290,2.0,No,8.0,4.0,No,13.0,10.0,Extrovert
4154,2.0,No,9.0,,No,5.0,4.0,Extrovert
3830,1.0,No,9.0,4.0,No,15.0,7.0,Extrovert
3027,7.0,Yes,3.0,,Yes,5.0,0.0,Introvert
2111,2.0,No,8.0,4.0,No,13.0,7.0,Extrovert
3736,0.0,No,9.0,6.0,No,12.0,10.0,Extrovert
10737,6.0,Yes,0.0,1.0,,3.0,,Introvert
1731,2.0,No,8.0,6.0,No,6.0,8.0,Extrovert
932,5.0,Yes,3.0,3.0,Yes,3.0,0.0,Introvert
10108,5.0,Yes,0.0,3.0,Yes,0.0,1.0,Introvert
23250,3.0,No,8.0,5.0,No,,6.0,
22138,10.0,Yes,,1.0,Yes,5.0,2.0,
3386,9.0,,0.0,1.0,Yes,4.0,,Introvert
21109,0.0,No,6.0,6.0,No,8.0,3.0,
84,3.0,No,7.0,6.0,No,4.0,6.0,Extrovert
5799,0.0,No,6.0,4.0,No,15.0,4.0,Extrovert
9878,,No,5.0,4.0,No,7.0,4.0,Extrovert
3508,4.0,Yes,2.0,1.0,Yes,1.0,2.0,Introvert
11003,8.0,Yes,0.0,,Yes,1.0,2.0,Introvert
20571,4.0,No,3.0,4.0,No,6.0,6.0,
2319,1.0,No,6.0,4.0,No,9.0,9.0,Extrovert
21675,,No,9.0,6.0,No,5.0,3.0,
21901,11.0,Yes,2.0,2.0,Yes,5.0,,
19545,6.0,Yes,0.0,1.0,Yes,2.0,3.0,
14685,1.0,No,6.0,,No,5.0,9.0,Extrovert
27,9.0,,0.0,0.0,Yes,1.0,1.0,Introvert
18790,9.0,Yes,2.0,,Yes,2.0,1.0,
4217,1.0,No,4.0,,No,11.0,6.0,Extrovert
24519,0.0,No,4.0,4.0,,12.0,3.0,
18961,0.0,No,9.0,3.0,No,15.0,4.0,
23732,5.0,No,6.0,6.0,No,9.0,8.0,
19839,1.0,No,5.0,6.0,No,14.0,4.0,
5690,2.0,No,9.0,4.0,No,9.0,6.0,Extrovert
22361,4.0,Yes,0.0,1.0,,1.0,1.0,
18019,,No,8.0,4.0,No,12.0,6.0,Extrovert
17503,3.0,No,9.0,6.0,No,14.0,,Extrovert
18922,3.0,No,7.0,3.0,No,13.0,9.0,
5549,3.0,No,8.0,,No,11.0,5.0,Extrovert
10762,4.0,No,8.0,7.0,No,6.0,9.0,Extrovert
13058,0.0,No,6.0,7.0,,10.0,6.0,Extrovert
11716,1.0,No,6.0,3.0,No,14.0,3.0,Extrovert
7399,3.0,No,6.0,3.0,No,14.0,5.0,Extrovert
4747,4.0,Yes,1.0,2.0,Yes,10.0,2.0,Introvert
6350,4.0,Yes,1.0,1.0,,4.0,2.0,Introvert
8358,1.0,No,7.0,5.0,No,15.0,3.0,Extrovert
6020,0.0,No,8.0,7.0,No,8.0,5.0,Extrovert
17642,,Yes,0.0,2.0,,5.0,2.0,Introvert
17365,1.0,No,,3.0,No,9.0,6.0,Extrovert
14855,3.0,No,4.0,4.0,No,8.0,4.0,Extrovert
13361,7.0,Yes,,2.0,Yes,4.0,2.0,Introvert
21545,6.0,Yes,1.0,0.0,Yes,5.0,,
17784,9.0,Yes,2.0,0.0,Yes,5.0,3.0,Introvert
24452,2.0,No,8.0,7.0,No,13.0,6.0,
8781,2.0,No,5.0,,No,7.0,6.0,Extrovert
1478,3.0,No,10.0,6.0,No,9.0,9.0,Extrovert
19368,5.0,Yes,0.0,,Yes,1.0,0.0,
3723,0.0,No,,6.0,No,12.0,7.0,Extrovert
15653,3.0,No,8.0,5.0,No,5.0,4.0,Extrovert
19726,,No,9.0,7.0,No,8.0,8.0,
8083,3.0,No,6.0,3.0,No,9.0,7.0,Extrovert
10198,2.0,No,7.0,7.0,No,9.0,3.0,Extrovert
5660,2.0,No,6.0,5.0,No,9.0,4.0,Extrovert
24660,0.0,No,5.0,3.0,No,10.0,,
15995,3.0,No,9.0,4.0,No,12.0,6.0,Extrovert
2939,8.0,Yes,3.0,0.0,,2.0,1.0,Introvert
456,0.0,No,3.0,6.0,No,4.0,5.0,Extrovert
12559,0.0,No,7.0,7.0,No,6.0,4.0,Extrovert
8237,1.0,,,4.0,No,6.0,4.0,Extrovert
13322,1.0,No,9.0,4.0,No,9.0,6.0,Extrovert
18789,3.0,No,9.0,3.0,No,6.0,6.0,
20240,6.0,Yes,2.0,,Yes,5.0,1.0,
9718,0.0,No,4.0,,No,9.0,5.0,Extrovert
17867,1.0,No,10.0,3.0,No,9.0,4.0,Extrovert
15798,10.0,Yes,1.0,,Yes,3.0,0.0,Introvert
4097,2.0,No,8.0,5.0,No,6.0,6.0,Extrovert
19424,2.0,,5.0,3.0,No,9.0,8.0,
10823,2.0,No,7.0,6.0,No,7.0,5.0,Extrovert
16684,3.0,No,6.0,7.0,No,12.0,8.0,Extrovert
873,2.0,No,3.0,4.0,No,13.0,8.0,Extrovert
18048,1.0,No,10.0,4.0,No,13.0,7.0,Extrovert
4586,2.0,No,4.0,,No,12.0,7.0,Extrovert
58,8.0,Yes,0.0,2.0,Yes,5.0,,Introvert
48,10.0,Yes,1.0,,Yes,5.0,1.0,Introvert
1138,2.0,No,4.0,3.0,No,15.0,9.0,Extrovert
5491,1.0,No,9.0,6.0,No,9.0,4.0,Extrovert
