id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
103,0,No,6,6,No,11,6,Extrovert
104,,No,6,6,No,8,8,Extrovert
105,8,Yes,0,2,,1,0,Introvert
106,2,No,10,4,No,10,3,Extrovert
107,,No,4,4,No,5,6,Extrovert
108,9,No,6,6,No,15,4,Extrovert
109,2,No,6,5,No,6,6,Extrovert
110,0,No,9,4,No,14,6,Extrovert
111,3,No,4,3,No,14,7,Extrovert
112,3,No,5,3,No,7,9,Extrovert
113,0,No,10,4,No,9,8,Extrovert
114,5,Yes,0,3,Yes,5,2,Introvert
115,2,No,4,4,No,12,4,Extrovert
116,1,No,4,5,No,8,6,Extrovert
117,0,No,6,5,No,13,8,Extrovert
118,3,No,4,6,No,12,7,Extrovert
119,10,Yes,,2,Yes,4,0,Introvert
120,1,No,9,3,No,9,,Extrovert
121,9,Yes,3,,Yes,0,1,Introvert
122,6,Yes,1,0,Yes,0,1,Introvert
123,7,Yes,3,1,Yes,5,,Introvert
124,4,No,7,6,No,11,3,Introvert
125,1,No,6,3,No,9,9,Extrovert
126,3,No,4,7,No,7,3,Extrovert
127,1,No,9,4,No,6,7,Extrovert
128,1,No,4,6,No,8,8,Extrovert
129,,No,4,4,No,15,3,Extrovert
130,10,Yes,0,,Yes,0,0,Introvert
131,2,No,9,4,No,15,8,Extrovert
132,,No,8,5,No,15,7,Extrovert
133,0,,5,7,No,7,9,Extrovert
134,3,No,4,6,No,13,6,Extrovert
135,3,No,9,6,No,11,9,Extrovert
136,1,No,9,3,No,12,9,Extrovert
137,0,No,3,3,No,4,8,Extrovert
138,3,No,8,7,No,,3,Extrovert
139,11,,2,2,Yes,2,2,Extrovert
140,4,No,7,6,No,11,6,Extrovert
141,2,No,8,6,No,11,6,Extrovert
142,1,No,7,4,No,12,4,Extrovert
143,1,No,3,6,No,12,9,Extrovert
144,3,No,4,4,No,9,9,Extrovert
145,1,No,4,5,No,8,,Extrovert
146,1,No,7,4,No,14,,Extrovert
147,7,Yes,3,1,Yes,3,,Introvert
148,1,,9,3,No,11,7,Extrovert
149,0,No,4,6,No,,3,Introvert
150,6,Yes,,1,Yes,3,1,Introvert
151,7,,0,2,Yes,0,2,Introvert
152,,Yes,1,2,Yes,3,3,Introvert
153,0,,6,3,No,10,3,Extrovert
154,2,No,4,7,No,5,6,Extrovert
155,10,Yes,0,1,Yes,,2,Introvert
156,10,Yes,0,0,Yes,4,2,Introvert
157,3,No,5,5,,7,6,Extrovert
158,11,Yes,0,2,,4,,Introvert
159,10,,3,0,Yes,2,0,Introvert
160,0,No,9,5,No,15,,Extrovert
161,,No,6,5,No,10,3,Extrovert
162,0,No,7,7,No,15,3,Extrovert
163,4,Yes,2,0,Yes,0,0,Introvert
164,2,No,9,3,No,14,3,Extrovert
165,6,Yes,,0,Yes,,1,Introvert
166,1,No,7,3,,8,8,Extrovert
167,3,No,6,4,No,13,4,Extrovert
168,7,Yes,3,,,4,2,Introvert
169,7,Yes,1,1,Yes,0,1,Introvert
170,1,No,,3,No,12,6,Extrovert
171,2,No,7,4,No,11,,Extrovert
172,2,No,8,6,No,11,3,Extrovert
173,2,No,9,6,No,12,7,Extrovert
174,3,No,10,3,No,4,8,Extrovert
175,2,No,6,5,No,12,7,Extrovert
176,,No,7,3,No,8,5,Extrovert
177,4,No,8,,No,11,7,Extrovert
178,3,No,3,6,,4,8,Extrovert
179,10,Yes,0,2,,4,0,Introvert
180,8,Yes,3,,Yes,5,1,Introvert
181,1,No,9,3,No,8,4,Extrovert
182,11,Yes,4,1,Yes,1,0,Introvert
183,,No,6,7,No,14,4,Extrovert
184,1,No,7,4,No,5,8,Extrovert
185,3,No,4,4,No,10,5,Extrovert
186,1,No,7,4,No,6,,Extrovert
187,10,Yes,2,3,Yes,3,1,Introvert
188,0,No,6,4,No,15,8,Extrovert
189,6,Yes,3,,Yes,4,1,Introvert
190,6,,3,2,Yes,5,0,Introvert
191,0,No,9,,No,12,4,Extrovert
192,2,No,5,5,No,13,3,Extrovert
193,1,No,4,,No,15,7,Extrovert
194,2,No,9,6,No,7,9,Extrovert
195,0,No,7,,No,12,4,Extrovert
196,3,No,4,5,No,5,5,Extrovert
197,1,No,4,6,No,12,5,Extrovert
198,2,No,9,3,No,10,9,Extrovert
199,3,No,8,4,No,,3,Extrovert
200,1,No,4,,No,6,,Extrovert
201,0,No,7,4,,,6,Extrovert
202,2,No,5,5,No,13,9,Extrovert
203,1,No,3,7,No,10,8,Extrovert
204,0,No,6,5,,14,3,Extrovert
205,7,Yes,3,1,Yes,,3,Introvert
206,1,No,8,3,No,10,9,Extrovert
207,1,No,9,6,No,,10,Extrovert
208,0,No,4,,No,10,4,Extrovert
209,0,,8,3,No,15,9,Extrovert
210,6,Yes,0,2,Yes,0,1,Introvert
211,10,Yes,3,1,Yes,,1,Introvert
212,1,No,8,3,No,7,,Extrovert
213,8,,2,1,Yes,4,1,Introvert
214,4,Yes,2,0,,0,0,Introvert
215,1,No,6,,No,8,9,Extrovert
216,5,Yes,1,2,,2,1,Introvert
217,,No,8,,No,15,4,Extrovert
218,3,,9,6,No,9,6,Extrovert
219,,No,9,7,No,6,8,Extrovert
220,9,,1,0,Yes,0,0,Introvert
221,1,No,8,5,No,,8,Extrovert
222,0,No,10,4,No,11,4,Extrovert
223,3,No,5,4,No,8,6,Extrovert
224,3,No,8,6,No,13,5,Extrovert
225,2,No,5,4,No,7,6,Extrovert
226,4,No,7,4,No,6,7,Extrovert
227,3,No,9,7,No,9,4,Extrovert
228,1,No,8,4,No,10,3,Extrovert
229,0,No,7,,No,,9,Extrovert
230,3,,5,4,No,11,9,Extrovert
231,0,No,5,3,No,,3,Extrovert
232,11,Yes,1,0,Yes,4,2,Introvert
233,2,No,8,4,No,5,9,Extrovert
234,11,Yes,2,1,Yes,,,Introvert
235,2,No,4,3,No,5,10,Extrovert
236,9,Yes,1,0,,3,0,Introvert
237,0,No,4,6,No,9,6,Extrovert
238,11,Yes,2,2,Yes,1,,Introvert
239,11,Yes,3,1,Yes,4,3,Introvert
240,0,,5,5,No,13,3,Extrovert
241,2,Yes,1,2,Yes,2,1,Introvert
242,3,No,,5,No,12,10,Extrovert
243,3,No,6,7,No,10,6,Extrovert
244,4,No,4,5,No,9,4,Extrovert
245,10,No,3,5,No,5,4,Introvert
246,3,No,5,4,No,15,6,Extrovert
247,,No,9,6,No,11,5,Extrovert
248,7,No,4,4,No,7,7,Extrovert
249,10,Yes,1,2,,2,2,Introvert
250,1,No,9,4,No,12,6,Extrovert
251,1,No,7,6,No,5,3,Extrovert
252,10,,0,1,Yes,2,0,Introvert
253,1,No,10,3,No,14,8,Extrovert
254,,No,8,4,No,11,7,Extrovert
255,1,No,8,3,No,5,7,Extrovert
256,0,No,9,4,No,13,6,Extrovert
257,,No,5,6,No,12,4,Extrovert
258,2,No,6,6,No,13,5,Extrovert
259,10,Yes,2,1,Yes,1,3,Introvert
260,,Yes,0,0,Yes,,1,Introvert
261,3,No,6,4,No,9,8,Extrovert
262,7,Yes,,,Yes,4,2,Introvert
263,6,Yes,,0,Yes,,2,Introvert
264,2,No,9,6,No,4,3,Extrovert
265,10,Yes,0,2,Yes,0,3,Introvert
266,2,No,8,3,No,14,7,Extrovert
267,8,Yes,3,3,Yes,3,2,Introvert
268,9,Yes,,2,Yes,2,2,Introvert
269,1,No,9,4,No,11,,Extrovert
270,0,No,7,7,No,10,7,Extrovert
271,4,,0,0,Yes,5,3,Introvert
272,4,No,5,3,No,12,3,Introvert
273,1,No,5,3,No,4,7,Extrovert
274,3,No,5,6,No,7,9,Extrovert
275,3,No,6,7,No,6,7,Extrovert
276,6,Yes,0,0,,1,0,Introvert
277,4,Yes,0,0,Yes,,0,Introvert
278,3,No,8,3,No,14,6,Extrovert
279,8,Yes,4,1,Yes,3,0,Introvert
280,3,No,9,7,No,14,3,Extrovert
281,2,No,6,5,No,9,3,Extrovert
282,,No,6,5,No,8,5,Extrovert
283,8,,3,0,Yes,5,1,Introvert
284,7,Yes,3,,Yes,4,,Introvert
285,,No,9,5,No,12,6,Introvert
286,1,No,7,5,No,8,6,Extrovert
287,3,No,6,7,No,11,3,Extrovert
288,10,Yes,3,2,,5,2,Introvert
289,5,Yes,,2,Yes,1,3,Introvert
290,1,No,5,6,No,6,4,Extrovert
291,0,No,5,4,No,6,4,Extrovert
292,0,No,6,6,No,12,3,Extrovert
293,10,Yes,3,0,,5,0,Introvert
294,10,,3,1,Yes,2,1,Introvert
295,10,Yes,1,3,Yes,4,3,Introvert
296,3,No,5,7,No,14,3,Extrovert
297,1,No,3,6,No,10,5,Extrovert
298,4,No,8,3,No,12,5,Extrovert
299,2,No,9,6,No,13,10,Extrovert
300,2,No,4,6,No,9,7,Extrovert
301,3,No,7,7,No,14,10,Extrovert
302,,No,6,4,No,11,,Extrovert
303,2,No,8,5,No,15,9,Extrovert
304,5,Yes,2,1,Yes,2,1,Introvert
305,1,No,4,4,No,12,5,Extrovert
306,0,No,,3,No,12,4,Extrovert
307,9,Yes,,,Yes,5,2,Introvert
308,1,No,5,3,No,10,6,Extrovert
309,11,Yes,2,2,Yes,0,0,Introvert
310,1,No,5,5,No,13,8,Extrovert
311,0,No,4,3,No,9,3,Extrovert
312,9,Yes,1,1,,5,1,Introvert
313,6,Yes,0,0,Yes,0,,Introvert
314,3,No,10,7,No,13,7,Extrovert
315,2,No,6,3,No,10,4,Extrovert
316,2,,6,4,No,13,7,Extrovert
317,6,Yes,0,3,Yes,3,2,Introvert
318,0,No,5,7,No,13,7,Extrovert
319,7,Yes,1,,Yes,4,0,Introvert
320,,Yes,2,1,Yes,3,0,Introvert
321,,,2,2,Yes,2,2,Introvert
322,10,,3,0,Yes,4,3,Introvert
323,7,Yes,1,,Yes,4,2,Introvert
324,0,No,6,7,No,4,8,Extrovert
325,2,No,9,6,No,14,9,Extrovert
326,3,No,3,3,No,6,5,Extrovert
327,0,No,4,6,No,12,8,Extrovert
328,2,No,,4,No,4,5,Extrovert
329,2,No,5,3,No,10,,Extrovert
330,11,Yes,2,,Yes,4,2,Introvert
331,2,No,7,3,No,8,8,Extrovert
332,2,No,4,3,No,8,9,Extrovert
333,0,No,6,3,No,11,7,Extrovert
334,3,No,5,5,No,7,7,Extrovert
335,3,No,9,5,No,,3,Extrovert
336,2,No,5,6,No,9,8,Extrovert
337,0,No,9,7,No,9,7,Extrovert
338,,No,9,6,No,13,8,Introvert
339,1,No,5,6,No,4,5,Extrovert
340,0,No,8,4,No,9,5,Extrovert
341,2,No,9,3,No,5,7,Extrovert
342,1,No,9,4,No,5,3,Extrovert
343,2,No,5,3,No,11,,Extrovert
344,1,No,5,4,No,11,,Extrovert
345,0,No,5,7,No,14,7,Extrovert
346,10,Yes,,,Yes,5,1,Introvert
347,3,,9,6,No,14,8,Extrovert
348,1,No,6,6,No,14,9,Extrovert
349,1,No,,3,No,6,4,Extrovert
350,2,No,5,5,,14,3,Extrovert
351,0,No,8,5,No,14,10,Extrovert
352,4,No,10,4,No,7,7,Extrovert
353,3,No,6,7,No,9,4,Extrovert
354,,No,10,4,No,12,5,Extrovert
355,2,No,5,3,No,,3,Extrovert
356,2,No,7,3,No,15,7,Extrovert
357,4,No,5,5,No,13,8,Extrovert
358,2,,8,4,No,15,6,Extrovert
359,3,No,8,6,No,,6,Extrovert
360,4,Yes,3,2,Yes,2,3,Introvert
361,2,No,6,5,No,3,9,Extrovert
362,2,No,4,3,No,4,3,Extrovert
363,4,Yes,3,1,Yes,,0,Introvert
364,0,No,7,7,No,4,3,Extrovert
365,2,No,8,5,No,13,3,Extrovert
366,1,No,4,,No,5,9,Extrovert
367,,No,5,5,No,10,5,Extrovert
368,4,Yes,3,2,,1,0,Introvert
369,,,5,6,No,11,6,Extrovert
370,5,Yes,2,2,,,2,Introvert
371,1,No,3,5,No,6,6,Extrovert
372,4,Yes,3,3,Yes,4,3,Introvert
373,8,Yes,1,,Yes,5,1,Introvert
374,2,No,,5,No,3,9,Extrovert
375,11,Yes,0,2,Yes,,0,Introvert
376,2,No,3,4,No,6,7,Extrovert
377,,No,4,4,No,5,9,Extrovert
378,0,No,5,4,No,10,5,Extrovert
379,2,No,9,4,No,10,9,Extrovert
380,7,Yes,0,1,,3,,Introvert
381,,No,6,3,No,7,8,Extrovert
382,0,No,9,7,No,7,5,Extrovert
383,2,No,8,7,No,10,6,Extrovert
384,9,Yes,0,0,Yes,10,2,Introvert
385,2,No,,6,No,11,6,Extrovert
386,10,Yes,3,1,Yes,5,,Introvert
387,1,No,4,4,No,10,9,Extrovert
388,8,Yes,,2,Yes,2,2,Introvert
389,0,No,5,7,No,10,,Extrovert
390,0,No,5,5,No,7,7,Extrovert
391,3,,7,6,No,14,7,Extrovert
392,,Yes,1,1,Yes,2,2,Introvert
393,3,No,5,5,No,8,9,Extrovert
394,0,No,7,3,No,15,4,Extrovert
395,0,No,6,5,No,7,3,Extrovert
396,6,Yes,,2,Yes,4,1,Introvert
397,3,No,3,5,No,5,,Extrovert
398,4,Yes,2,2,Yes,7,2,Extrovert
399,1,No,5,5,No,12,,Extrovert
400,2,No,,3,No,5,3,Extrovert
401,1,No,7,5,No,9,10,Extrovert
402,7,Yes,3,1,Yes,1,3,Introvert
403,6,,1,,Yes,3,2,Extrovert
404,3,No,6,4,No,14,4,Extrovert
405,,No,8,7,No,9,7,Extrovert
406,,No,5,5,No,10,9,Extrovert
407,7,Yes,3,2,,5,1,Introvert
408,0,No,8,5,No,10,7,Extrovert
409,0,No,9,6,No,5,7,Extrovert
410,0,No,7,5,No,10,7,Extrovert
411,3,No,5,6,No,10,5,Extrovert
412,2,No,9,7,No,6,5,Extrovert
413,0,,8,3,No,7,4,Extrovert
414,1,No,4,5,No,5,6,Extrovert
415,1,No,4,7,No,9,4,Extrovert
416,3,No,5,,No,11,6,Extrovert
417,4,No,7,3,No,6,8,Extrovert
418,9,Yes,2,2,,2,1,Introvert
419,0,No,7,3,No,11,5,Extrovert
420,1,No,,4,No,7,10,Extrovert
421,3,No,6,7,No,8,9,Extrovert
422,8,Yes,,2,,2,2,Introvert
423,3,No,5,4,No,,8,Extrovert
424,0,No,4,7,No,9,4,Extrovert
425,1,No,6,5,,5,5,Extrovert
426,7,Yes,3,1,Yes,4,1,Introvert
427,1,No,7,,No,10,8,Extrovert
428,2,No,9,,No,11,5,Extrovert
429,2,No,4,4,No,12,7,Extrovert
430,1,No,7,5,No,5,7,Extrovert
431,1,No,9,5,No,12,6,Extrovert
432,4,,1,0,Yes,3,,Introvert
433,2,No,4,5,No,9,,Extrovert
434,7,Yes,0,2,Yes,0,3,Introvert
435,3,No,6,,No,13,4,Extrovert
436,0,No,6,3,No,15,6,Extrovert
437,0,No,4,4,No,7,6,Extrovert
438,,Yes,1,1,Yes,2,0,Introvert
439,3,No,,5,No,4,4,Extrovert
440,2,No,7,5,No,,8,Extrovert
441,4,No,5,5,No,12,10,Extrovert
442,11,Yes,0,3,Yes,2,0,Introvert
443,4,Yes,1,7,Yes,2,7,Extrovert
444,1,No,6,6,No,13,,Extrovert
445,2,No,4,5,No,12,10,Extrovert
446,3,No,7,6,,10,7,Extrovert
447,4,No,6,5,No,8,4,Extrovert
448,2,No,9,3,No,10,3,Extrovert
449,9,Yes,0,0,,2,1,Introvert
450,2,,3,3,No,4,6,Extrovert
451,3,No,6,6,No,8,10,Extrovert
452,,Yes,2,0,Yes,0,1,Introvert
453,0,No,3,4,No,6,6,Extrovert
454,3,No,,5,No,6,3,Extrovert
455,1,No,9,7,No,12,6,Extrovert
456,0,No,3,6,No,4,5,Extrovert
457,4,Yes,2,2,Yes,0,2,Introvert
458,3,No,,7,No,8,6,Extrovert
459,2,No,,5,No,6,8,Extrovert
460,2,No,9,4,No,14,4,Extrovert
461,2,No,5,7,No,12,5,Extrovert
462,5,Yes,0,,Yes,2,2,Introvert
463,2,No,8,6,No,11,7,Extrovert
464,7,Yes,1,0,Yes,15,2,Introvert
465,4,No,4,7,No,10,4,Extrovert
466,2,No,10,6,No,9,9,Extrovert
467,3,,9,5,No,7,8,Extrovert
468,10,,3,0,Yes,,,Introvert
469,3,No,5,5,No,5,,Extrovert
470,11,Yes,1,,Yes,2,1,Introvert
471,6,Yes,,,Yes,1,2,Introvert
472,6,Yes,2,1,Yes,5,,Introvert
473,1,No,6,5,No,14,7,Extrovert
474,1,No,9,6,No,13,8,Extrovert
475,0,No,4,7,No,9,5,Extrovert
476,4,No,9,7,No,11,8,Extrovert
477,1,No,7,7,No,4,7,Extrovert
478,3,No,7,5,No,,5,Extrovert
479,1,No,5,4,No,13,4,Extrovert
480,9,Yes,4,2,Yes,3,2,Introvert
481,3,No,7,4,No,11,4,Extrovert
482,1,No,4,7,No,4,3,Extrovert
483,2,No,9,7,No,4,7,Extrovert
484,0,No,8,6,No,6,9,Extrovert
485,1,No,9,,No,9,3,Extrovert
486,1,,9,5,No,10,7,Extrovert
487,7,Yes,1,2,Yes,5,3,Introvert
488,1,No,4,3,No,7,6,Extrovert
489,0,No,9,5,No,5,8,Extrovert
490,0,,4,3,No,14,,Extrovert
491,5,Yes,3,1,Yes,5,1,Introvert
492,2,,6,5,No,12,3,Extrovert
493,7,Yes,3,2,Yes,4,1,Introvert
494,,No,9,3,No,14,4,Extrovert
495,7,,,1,Yes,2,2,Introvert
496,5,Yes,2,2,Yes,3,1,Introvert
497,1,No,8,4,No,3,8,Extrovert
498,11,Yes,3,,Yes,3,1,Introvert
499,1,No,6,5,No,5,7,Extrovert
500,1,No,6,7,No,6,4,Extrovert
501,9,Yes,0,3,Yes,4,0,Introvert
502,0,,9,5,No,9,3,Extrovert
503,11,Yes,1,2,,3,1,Extrovert
504,3,No,10,7,No,7,8,Extrovert
505,2,No,9,5,No,8,9,Extrovert
506,3,No,9,4,No,6,,Extrovert
507,5,Yes,0,2,Yes,4,,Introvert
508,3,No,5,,No,11,7,Extrovert
509,,No,7,5,No,9,9,Extrovert
510,1,No,5,5,No,11,9,Extrovert
511,5,Yes,,0,Yes,0,0,Introvert
512,,No,9,6,No,11,8,Extrovert
513,2,No,4,4,No,11,,Extrovert
514,11,,2,0,,5,0,Introvert
515,3,No,4,3,No,7,6,Extrovert
516,3,No,7,5,No,3,4,Extrovert
517,1,No,,5,No,7,7,Extrovert
518,11,Yes,1,1,Yes,4,3,Extrovert
519,2,No,7,4,No,11,4,Extrovert
520,6,Yes,0,3,Yes,5,,Introvert
521,0,No,4,4,No,10,10,Extrovert
522,1,No,5,4,No,8,,Extrovert
523,1,No,4,7,No,5,7,Extrovert
524,2,No,9,6,No,15,4,Extrovert
525,3,No,3,5,No,8,6,Extrovert
526,3,No,8,,No,15,6,Extrovert
527,0,No,5,4,No,12,7,Extrovert
528,4,Yes,2,3,Yes,1,0,Introvert
529,,Yes,0,2,Yes,4,2,Introvert
530,3,No,10,5,No,6,3,Extrovert
531,3,No,9,6,,5,3,Extrovert
532,1,No,5,4,No,,3,Extrovert
533,2,,9,4,No,6,6,Extrovert
534,4,No,9,4,No,10,3,Extrovert
535,1,No,,5,No,14,8,Extrovert
536,11,Yes,0,3,Yes,0,2,Introvert
537,0,No,6,5,No,6,9,Extrovert
538,3,No,8,3,No,7,8,Extrovert
539,2,No,5,6,No,15,8,Extrovert
540,,,0,2,Yes,4,0,Introvert
541,7,Yes,2,2,,3,1,Introvert
542,1,,6,6,No,9,4,Extrovert
543,0,No,7,6,No,15,,Extrovert
544,8,,2,,Yes,5,1,Introvert
545,6,Yes,2,2,,4,0,Introvert
546,4,Yes,3,1,Yes,,2,Introvert
547,2,No,10,6,No,10,6,Introvert
548,5,Yes,0,,Yes,2,,Introvert
549,10,Yes,0,,Yes,4,,Introvert
550,1,No,5,6,No,,3,Extrovert
551,4,Yes,0,0,Yes,5,0,Introvert
552,2,No,,4,No,5,4,Extrovert
553,3,No,5,4,No,6,7,Extrovert
554,4,No,4,5,No,6,10,Extrovert
555,2,No,8,5,No,8,3,Extrovert
556,6,Yes,2,1,Yes,4,1,Introvert
557,2,No,9,5,,11,,Extrovert
558,3,Yes,2,1,Yes,2,1,Extrovert
559,,Yes,2,0,Yes,8,0,Extrovert
560,10,,2,1,Yes,3,2,Introvert
561,1,No,9,4,No,13,4,Introvert
562,1,No,7,3,No,7,7,Extrovert
563,,No,6,3,No,10,5,Extrovert
564,10,Yes,2,3,Yes,5,1,Introvert
565,7,Yes,1,1,,3,0,Introvert
566,2,No,7,3,No,8,9,Extrovert
567,3,No,9,3,No,15,,Extrovert
568,0,No,8,5,No,15,6,Extrovert
569,1,No,5,3,No,8,8,Extrovert
570,3,No,,6,No,6,9,Extrovert
571,0,No,5,3,No,,6,Extrovert
572,2,No,5,6,No,10,6,Extrovert
573,0,No,8,7,No,10,4,Extrovert
574,2,,4,3,No,4,5,Extrovert
575,1,No,,5,No,11,5,Extrovert
576,7,Yes,3,2,Yes,,1,Introvert
577,11,,,1,Yes,5,2,Introvert
578,2,No,9,5,No,7,10,Extrovert
579,7,Yes,0,2,,3,1,Introvert
580,0,,8,6,No,14,9,Extrovert
581,0,No,4,5,No,15,5,Extrovert
582,6,Yes,3,1,,2,2,Introvert
583,10,,3,0,Yes,0,1,Introvert
584,1,No,8,3,No,14,4,Extrovert
585,,No,9,5,No,10,4,Extrovert
586,9,Yes,0,1,Yes,1,1,Introvert
587,3,No,4,4,No,7,4,Extrovert
588,1,No,,5,No,8,5,Extrovert
589,,No,6,7,No,7,4,Extrovert
590,,No,7,3,No,5,4,Extrovert
591,1,,8,5,No,,6,Extrovert
592,3,No,8,6,No,5,7,Extrovert
593,0,No,10,7,No,14,6,Extrovert
594,2,No,3,5,No,6,7,Extrovert
595,3,No,,7,No,11,8,Extrovert
596,2,No,7,3,,7,3,Extrovert
597,7,Yes,,1,Yes,3,0,Introvert
598,1,No,4,7,No,11,9,Extrovert
599,,No,4,6,No,11,3,Extrovert
600,4,No,8,5,No,15,4,Extrovert
601,3,No,4,3,No,12,5,Extrovert
602,2,,8,4,No,14,7,Extrovert
603,3,No,4,3,No,13,7,Extrovert
604,0,No,6,5,No,10,9,Extrovert
605,,No,6,6,No,12,5,Extrovert
606,3,No,8,4,No,13,7,Extrovert
607,6,Yes,0,0,Yes,4,,Introvert
608,1,No,,5,No,10,5,Extrovert
609,3,No,9,,No,10,8,Extrovert
610,1,No,5,5,No,7,10,Extrovert
611,4,No,9,4,No,7,9,Extrovert
612,,No,5,4,No,8,6,Extrovert
613,2,No,6,5,No,,5,Extrovert
614,7,Yes,,,Yes,1,0,Introvert
615,2,No,7,4,No,12,,Extrovert
616,2,No,3,5,No,4,2,Extrovert
617,3,No,6,4,No,4,6,Extrovert
618,,No,,3,No,8,5,Extrovert
619,2,No,4,3,No,13,5,Extrovert
620,1,No,6,5,No,6,5,Extrovert
621,9,,3,2,Yes,5,2,Introvert
622,0,No,8,4,No,13,10,Extrovert
623,0,No,5,3,No,11,3,Extrovert
624,0,No,9,5,No,8,5,Extrovert
625,3,No,3,4,No,10,9,Extrovert
